Week,Total A,Total B,Percent Positive A,Percent Positive B,Total # Tested,% Positive
1,3855,498,225,18.75,12.92,5.84
2,4566,739,271,22.12,16.18,5.94
3,4617,793,379,25.38,17.18,8.21
4,6354,1242,696,30.5,19.55,10.95
5,7177,1398,849,31.31,19.48,11.83
6,7517,1513,953,32.81,20.13,12.68
7,7883,1457,1064,31.98,18.48,13.5
8,5760,830,742,27.29,14.41,12.88
9,4155,396,372,18.48,9.53,8.95
10,3448,234,234,13.57,6.79,6.79
11,3088,179,210,12.6,5.8,6.8
12,2861,180,180,12.58,6.29,6.29
13,2759,221,212,15.69,8.01,7.68
14,2165,167,167,15.43,7.71,7.71
15,2032,111,101,10.43,5.46,4.97
16,1916,111,66,9.24,5.79,3.44
17,1728,76,68,8.33,4.4,3.94
18,1609,53,30,5.16,3.29,1.86
19,1498,31,34,4.34,2.07,2.27
20,1360,22,13,2.57,1.62,0.96
21,1209,11,3,1.16,0.91,0.25
22,1166,10,1,0.94,0.86,0.09
23,1139,3,1,0.35,0.26,0.09
24,1070,1,0,0.09,0.09,0
25,997,0,0,0,0,0
26,859,1,0,0.12,0.12,0
27,812,0,0,0,0,0
28,879,3,0,0.34,0.34,0
29,857,2,0,0.23,0.23,0
30,818,2,0,0.24,0.24,0
31,755,1,0,0.13,0.13,0
32,851,1,0,0.12,0.12,0
33,803,0,0,0,0,0
34,860,0,0,0,0,0
35,807,1,0,0.12,0.12,0
36,810,3,0,0.37,0.37,0
37,1218,0,0,0,0,0
38,1170,4,1,0.43,0.34,0.09
39,1452,4,3,0.48,0.28,0.21
40,1454,5,2,0.48,0.34,0.14
41,1999,7,1,0.4,0.35,0.05
42,2068,7,0,0.34,0.34,0
43,2152,7,2,0.42,0.33,0.09
44,2043,8,1,0.44,0.39,0.05
45,2106,15,1,0.76,0.71,0.05
46,2029,24,0,1.18,1.18,0
47,2056,30,4,1.65,1.46,0.19
48,2442,59,7,2.7,2.42,0.29
49,2572,63,9,2.8,2.45,0.35
50,2852,157,10,5.86,5.5,0.35
51,3169,266,4,8.52,8.39,0.13
52,3399,436,7,13.03,12.83,0.21
