"","Var1","Freq"
"1","00",4
"2","01",2
"3","03",1
"4","08",2
"5","10",1
"6","12",1
"7","20",2
"8","27",1
"9","28",4
"10","29",2
"11","45",1
"12","46",2
"13","50",3
"14","61",1
"15","64",1
"16","72",1
"17","78",1
"18","80",1
"19","81",1
"20","90",1
"21","97",1
"22","AB",15
"23","AK",2
"24","AL",27
"25","AR",27
"26","AZ",38
"27","Ac",1
"28","An",1
"29","Ar",1
"30","Au",10
"31","BC",13
"32","Ba",1
"33","Be",8
"34","Bo",3
"35","Br",1
"36","Bu",1
"37","CA",386
"38","CO",43
"39","CT",62
"40","Ca",31
"41","Ce",6
"42","Ch",5
"43","Cl",1
"44","Co",70
"45","Cr",1
"46","Cu",1
"47","DC",94
"48","DE",12
"49","DF",3
"50","Da",1
"51","De",18
"52","Do",1
"53","Du",1
"54","Et",1
"55","FL",84
"56","Fi",5
"57","Fr",12
"58","GA",112
"59","Ge",6
"60","Gh",3
"61","Gr",1
"62","HI",1
"63","HS",1
"64","Hu",1
"65","IA",25
"66","ID",9
"67","IL",98
"68","IN",54
"69","Ic",1
"70","In",1
"71","Ir",10
"72","Is",1
"73","It",1
"74","Ja",2
"75","Je",4
"76","KS",306
"77","KY",47
"78","Ka",5
"79","Ke",4
"80","Kh",1
"81","Ki",1
"82","LA",64
"83","La",21
"84","Le",2
"85","Lo",2
"86","MA",75
"87","MB",7
"88","MD",69
"89","ME",14
"90","MI",35
"91","MN",22
"92","MO",53
"93","MS",16
"94","MT",3
"95","Ma",8
"96","Mc",12
"97","Me",5
"98","Mi",13
"99","Mo",2
"100","Mu",1
"101","Má",1
"102","Mé",1
"103","NC",56
"104","ND",2
"105","NE",8
"106","NH",6
"107","NJ",26
"108","NM",15
"109","NV",36
"110","NY",237
"111","Na",1
"112","Ne",5
"113","Ni",8
"114","No",14
"115","Nr",1
"116","OH",165
"117","OK",72
"118","ON",74
"119","OR",59
"120","Ok",1
"121","Op",1
"122","PA",121
"123","Pa",3
"124","Pe",2
"125","Po",7
"126","Pr",2
"127","QC",5
"128","Qa",1
"129","Qu",1
"130","R5",1
"131","RI",10
"132","Ra",2
"133","Re",2
"134","Ri",11
"135","Ru",1
"136","SC",23
"137","SD",8
"138","Sa",7
"139","Se",40
"140","So",2
"141","St",36
"142","Su",1
"143","Sw",5
"144","Sã",1
"145","TN",59
"146","TX",312
"147","Ta",5
"148","Th",2
"149","To",1
"150","Tr",1
"151","UK",48
"152","US",274
"153","UT",11
"154","Ug",1
"155","Un",1
"156","Ur",1
"157","VA",66
"158","VT",3
"159","WA",58
"160","WI",29
"161","WV",17
"162","WY",2
"163","Wh",1
"164","Wi",1
"165","Wo",2
"166","Xi",1
"167","Zi",1
"168","a ",1
"169","er",1
"170","ho",1
"171","Сл",1
