"","Var1","Freq"
"1","00",4
"2","01",3
"3","03",6
"4","04",13
"5","06",8
"6","07",1
"7","08",5
"8","10",1
"9","13",1
"10","14",8
"11","15",1
"12","16",1
"13","20",4
"14","21",3
"15","22",17
"16","23",1
"17","24",2
"18","26",1
"19","27",8
"20","28",12
"21","29",4
"22","30",1
"23","31",1
"24","32",2
"25","33",5
"26","34",5
"27","35",2
"28","36",13
"29","37",9
"30","38",4
"31","39",1
"32","40",2
"33","41",2
"34","42",47
"35","43",7
"36","44",4
"37","45",39
"38","46",1
"39","47",3
"40","48",3
"41","50",15
"42","51",1
"43","52",1
"44","53",3
"45","54",4
"46","55",2
"47","56",5
"48","57",1
"49","59",1
"50","60",1
"51","62",3
"52","63",5
"53","64",4
"54","65",2
"55","66",4
"56","67",4
"57","68",1
"58","69",2
"59","70",2
"60","71",3
"61","72",28
"62","73",3
"63","76",11
"64","77",10
"65","78",44
"66","79",2
"67","80",8
"68","81",3
"69","82",3
"70","83",4
"71","84",1
"72","85",3
"73","87",8
"74","88",9
"75","89",7
"76","90",2
"77","93",3
"78","94",6
"79","96",1
"80","97",33
"81","98",19
"82","AB",17
"83","AK",2
"84","AL",8
"85","AR",10
"86","AZ",22
"87","Ac",6
"88","Ae",1
"89","Al",1
"90","An",3
"91","Ar",11
"92","At",5
"93","Au",11
"94","BC",2
"95","Be",1
"96","Bl",1
"97","Bo",2
"98","CA",207
"99","CD",1
"100","CO",25
"101","CT",29
"102","Ca",25
"103","Cd",1
"104","Ce",17
"105","Ch",10
"106","Ci",1
"107","Co",47
"108","Cu",2
"109","Có",1
"110","DC",66
"111","DE",7
"112","DF",1
"113","De",13
"114","Di",13
"115","Do",3
"116","Du",3
"117","Ec",9
"118","Ef",2
"119","Eg",1
"120","El",3
"121","En",1
"122","FL",52
"123","Fa",1
"124","Fi",8
"125","Fr",10
"126","GA",78
"127","Ge",7
"128","Gh",1
"129","Gl",1
"130","HI",2
"131","He",23
"132","Ho",3
"133","Hu",2
"134","IA",45
"135","ID",5
"136","IL",65
"137","IN",30
"138","Ig",4
"139","Ir",6
"140","It",2
"141","Ja",5
"142","Je",2
"143","KS",199
"144","KY",27
"145","Ka",3
"146","Kh",1
"147","Ki",1
"148","LA",11
"149","La",5
"150","Lo",13
"151","Lu",2
"152","MA",56
"153","MB",3
"154","MD",44
"155","ME",9
"156","MI",30
"157","MN",31
"158","MO",28
"159","MS",4
"160","MT",2
"161","Ma",4
"162","Mc",1
"163","Me",283
"164","Mi",12
"165","Mo",1
"166","Mu",1
"167","Mé",4
"168","NC",25
"169","ND",10
"170","NE",9
"171","NH",5
"172","NJ",23
"173","NM",4
"174","NS",1
"175","NV",18
"176","NY",113
"177","Na",1
"178","Ne",13
"179","No",17
"180","Nu",2
"181","OH",66
"182","OK",28
"183","ON",54
"184","OR",23
"185","Oa",16
"186","Om",1
"187","PA",48
"188","Pa",10
"189","Pe",4
"190","Ph",1
"191","Pi",1
"192","Po",5
"193","Pu",2
"194","QC",8
"195","RI",4
"196","Ra",3
"197","Re",19
"198","Ri",4
"199","Ré",1
"200","SC",9
"201","SD",5
"202","SK",1
"203","Sa",67
"204","Se",20
"205","Sl",1
"206","So",2
"207","Sp",1
"208","St",17
"209","Sw",7
"210","Sã",1
"211","TN",13
"212","TX",114
"213","Ta",9
"214","Th",1
"215","Tá",1
"216","UK",48
"217","US",118
"218","UT",21
"219","Ug",1
"220","Un",1
"221","Ur",1
"222","VA",39
"223","VT",4
"224","Va",1
"225","Ve",4
"226","WA",39
"227","WI",31
"228","WV",20
"229","WY",2
"230","Wi",1
"231","Wo",2
"232","Xa",8
"233","Zo",33
"234","Zu",1
"235","er",7
"236","ho",3
"237","Сл",1
