"","lon","lat"
"1",-74.0059728,40.7127753
"2",NA,NA
"3",-99.9018131,31.9685988
"4",-122.6587185,45.5122308
"5",-80.1917902,25.7616798
"6",NA,NA
"7",NA,NA
"8",-118.2436849,34.0522342
"9",-73.9441579,40.6781784
"10",-84.3879824,33.7489954
"11",11.4978895,48.7904472
"12",11.4978895,48.7904472
"13",11.2558136,43.7695604
"14",-81.5157535,27.6648274
"15",NA,NA
"16",-84.3879824,33.7489954
"17",-77.0909809,38.8816208
"18",-77.0909809,38.8816208
"19",-77.0909809,38.8816208
"20",-77.0909809,38.8816208
"21",-77.0909809,38.8816208
"22",-111.8314724,33.4151843
"23",-91.9623327,30.9842977
"24",-119.4179324,36.778261
"25",-75.5993692,38.3606736
"26",-75.5993692,38.3606736
"27",NA,NA
"28",-81.0348144,34.0007104
"29",-84.5120196,39.1031182
"30",-82.9000751,32.1656221
"31",-104.990251,39.7392358
"32",-96.9955918,37.2397486
"33",NA,NA
"34",-84.1916069,39.7589478
"35",-84.1916069,39.7589478
"36",-95.712891,37.09024
"37",-93.0899578,44.9537029
"38",-90.1994042,38.6270025
"39",-117.1610838,32.715738
"40",-117.1610838,32.715738
"41",-73.4856461,41.4660993
"42",-79.0192997,35.7595731
"43",24.96676,45.943161
"44",-117.1610838,32.715738
"45",-122.4702079,37.6879241
"46",-88.998673,34.2478831
"47",-93.294353,37.0433863
"48",NA,NA
"49",-84.1916069,39.7589478
"50",-78.8783585,35.0526641
"51",-84.3879824,33.7489954
"52",-82.4268216,39.7017328
"53",-75.1652215,39.9525839
"54",-75.1652215,39.9525839
"55",-75.1652215,39.9525839
"56",-75.1652215,39.9525839
"57",-75.1652215,39.9525839
"58",-75.1652215,39.9525839
"59",-75.1652215,39.9525839
"60",-117.1610838,32.715738
"61",-117.1610838,32.715738
"62",-95.2713584,36.4367575
"63",-78.0501099,36.0757249
"64",-97.5164276,35.4675602
"65",-95.9523912,36.1407932
"66",-79.0192997,35.7595731
"67",-77.4360481,37.5407246
"68",-118.2436849,34.0522342
"69",-90.1487199,38.7014389
"70",-90.1487199,38.7014389
"71",-117.001189,46.4004089
"72",-96.7969879,32.7766642
"73",-87.6352357,41.8971809
"74",-89.3985283,40.6331249
"75",-83.0146526,42.5144566
"76",-75.1652215,39.9525839
"77",-99.9018131,31.9685988
"78",-95.7507815,30.2093794
"79",-114.7420408,44.0682019
"80",-84.3879824,33.7489954
"81",-91.8318334,35.20105
"82",-93.4485059,32.8929177
"83",-112.0740373,33.4483771
"84",-97.1383744,49.895136
"85",-95.712891,37.09024
"86",-72.589811,42.1014831
"87",-82.1888089,36.595141
"88",NA,NA
"89",-73.134961,40.789142
"90",-122.2913078,37.8271784
"91",-122.2913078,37.8271784
"92",-122.2913078,37.8271784
"93",-122.2913078,37.8271784
"94",-122.2913078,37.8271784
"95",-122.2913078,37.8271784
"96",4.469936,50.503887
"97",-84.1916069,39.7589478
"98",-98.8138762,53.7608608
"99",NA,NA
"100",-82.9000751,32.1656221
"101",-79.0192997,35.7595731
"102",-95.712891,37.09024
"103",-95.712891,37.09024
"104",-95.712891,37.09024
"105",-95.712891,37.09024
"106",-88.8442674,42.2639098
"107",-88.8442674,42.2639098
"108",-122.3320708,47.6062095
"109",-86.158068,39.768403
"110",-76.8099041,18.0178743
"111",NA,NA
"112",-117.2948343,49.4928119
"113",-77.1945247,41.2033216
"114",-84.1916069,39.7589478
"115",-84.1916069,39.7589478
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",-84.2032767,40.0394982
"121",-87.2169149,30.421309
"122",-102.552784,23.634501
"123",-84.3879824,33.7489954
"124",-84.3879824,33.7489954
"125",-84.3879824,33.7489954
"126",-84.3879824,33.7489954
"127",-84.3879824,33.7489954
"128",-84.3879824,33.7489954
"129",NA,NA
"130",-84.5120196,39.1031182
"131",-95.9915346,36.1568902
"132",-122.320961,47.574972
"133",-90.0139908,29.9220105
"134",-88.6089917,44.7822064
"135",-84.1916069,39.7589478
"136",-84.1916069,39.7589478
"137",-84.1916069,39.7589478
"138",-84.1916069,39.7589478
"139",-86.1349019,40.2671941
"140",-86.1349019,40.2671941
"141",-73.9393554,40.8417082
"142",-73.9393554,40.8417082
"143",-73.9393554,40.8417082
"144",-73.9393554,40.8417082
"145",-85.323214,51.253775
"146",-77.297508,18.109581
"147",-101.9188024,34.9803342
"148",NA,NA
"149",-106.346771,56.130366
"150",-120.7401385,47.7510741
"151",NA,NA
"152",-77.0368707,38.9071923
"153",-91.5301683,41.6611277
"154",-89.6712008,38.7394918
"155",-101.9188024,34.9803342
"156",-99.133208,19.4326077
"157",-96.7915058,43.5387132
"158",NA,NA
"159",-99.9018131,31.9685988
"160",-118.1164613,34.5794343
"161",NA,NA
"162",-77.6088465,43.1565779
"163",-84.2700179,37.8393332
"164",-95.712891,37.09024
"165",NA,NA
"166",-7.6920536,53.1423672
"167",-78.6568942,37.4315734
"168",-99.9018131,31.9685988
"169",-84.3879824,33.7489954
"170",-84.3879824,33.7489954
"171",-84.3879824,33.7489954
"172",-84.3879824,33.7489954
"173",-84.3879824,33.7489954
"174",-84.3879824,33.7489954
"175",-84.3879824,33.7489954
"176",-84.3879824,33.7489954
"177",-84.3879824,33.7489954
"178",-119.4179324,36.778261
"179",-78.8657912,43.8970929
"180",-77.1945247,41.2033216
"181",-122.3320708,47.6062095
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",-86.5804473,35.5174913
"186",-117.2611527,34.0483474
"187",-82.9987942,39.9611755
"188",-118.2436849,34.0522342
"189",-118.2436849,34.0522342
"190",-118.2436849,34.0522342
"191",-118.40853,33.9415889
"192",-74.3459517,40.6506257
"193",-74.3459517,40.6506257
"194",-74.3459517,40.6506257
"195",-77.0368707,38.9071923
"196",-71.0588801,42.3600825
"197",-122.3320708,47.6062095
"198",-86.1219155,38.2120121
"199",NA,NA
"200",NA,NA
"201",-74.0059728,40.7127753
"202",-96.4929797,30.825147
"203",-95.712891,37.09024
"204",-75.5276699,38.9108325
"205",-82.6402915,27.7676008
"206",-97.1330683,33.2148412
"207",-95.712891,37.09024
"208",-88.7878678,43.7844397
"209",-98.4842465,39.011902
"210",-64.9307007,18.3419004
"211",-86.1586156,41.6619927
"212",7.398574,9.0764785
"213",-86.6199957,36.3047735
"214",-117.4260465,47.6587802
"215",-116.419389,34.9592083
"216",NA,NA
"217",-77.2828772,45.8982631
"218",-85.6023643,44.3148443
"219",-118.2436849,34.0522342
"220",-81.5157535,27.6648274
"221",-87.6297982,41.8781136
"222",-87.6297982,41.8781136
"223",-87.6297982,41.8781136
"224",NA,NA
"225",-120.8958242,38.8375215
"226",-111.8910474,40.7607793
"227",-74.0059728,40.7127753
"228",-81.3792365,28.5383355
"229",-114.0708459,51.0486151
"230",-118.2436849,34.0522342
"231",-113.2094659,53.7007157
"232",-87.71453,43.7508284
"233",-70.8226541,43.9653889
"234",-87.6297982,41.8781136
"235",-74.0565298,40.7895453
"236",-74.0565298,40.7895453
"237",-86.7816016,36.1626638
"238",NA,NA
"239",-90.1487199,38.7014389
"240",-117.5931084,34.1063989
"241",-117.5931084,34.1063989
"242",-117.5931084,34.1063989
"243",-117.5931084,34.1063989
"244",-117.5931084,34.1063989
"245",-117.5931084,34.1063989
"246",-117.5931084,34.1063989
"247",-87.5691735,33.2098407
"248",-90.1994042,38.6270025
"249",-90.1994042,38.6270025
"250",NA,NA
"251",-92.2895948,34.7464809
"252",-97.330053,37.6871761
"253",-77.0368707,38.9071923
"254",-73.9395687,42.8142432
"255",2.213749,46.227638
"256",-82.9000751,32.1656221
"257",-120.8958242,38.8375215
"258",-95.712891,37.09024
"259",-85.6023643,44.3148443
"260",-114.7420408,44.0682019
"261",-74.0059728,40.7127753
"262",-74.0059728,40.7127753
"263",-122.6727305,45.6272259
"264",-75.977985,36.8529263
"265",-99.7331439,32.4487364
"266",-76.5018807,42.4439614
"267",-118.250761,34.106316
"268",-119.4179324,36.778261
"269",-73.087749,41.6032207
"270",-73.087749,41.6032207
"271",-77.0368707,38.9071923
"272",-119.4179324,36.778261
"273",-73.7562317,42.6525793
"274",-87.6297982,41.8781136
"275",-96.8236116,33.1506744
"276",-76.8099041,18.0178743
"277",-105.7820674,39.5500507
"278",-105.7820674,39.5500507
