"","str_sub.address.3...2..3."
"1","ID"
"2",NA
"3",NA
"4","Ce"
"5","MN"
"6","MN"
"7","IN"
"8","IN"
"9","10"
"10","WI"
"11","WI"
"12","54"
"13","Me"
"14","NY"
"15","54"
"16","Me"
"17","NY"
"18","KY"
"19","KY"
"20","KY"
"21","KY"
"22","KY"
"23","KY"
"24","KY"
"25","80"
"26","DC"
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33","TX"
"34","Me"
"35","Me"
"36","Me"
"37","UK"
"38","UK"
"39","UK"
"40","Zo"
"41","GA"
"42","GA"
"43","GA"
"44","GA"
"45","GA"
"46","GA"
"47","MI"
"48","Me"
"49","Me"
"50","Me"
"51","Me"
"52","Me"
"53","Me"
"54","Me"
"55","Me"
"56","ON"
"57","WA"
"58","NV"
"59","NV"
"60","NV"
"61","TX"
"62","US"
"63","ON"
"64","ON"
"65",NA
"66","ON"
"67","ON"
"68","ON"
"69","ON"
"70","ON"
"71","ON"
"72","ON"
"73","ON"
"74","ON"
"75","CA"
"76","UK"
"77","NE"
"78","CA"
"79","TN"
"80","CA"
"81","CA"
"82","CA"
"83","MO"
"84","50"
"85","IN"
"86","Sa"
"87","Ne"
"88","Ne"
"89","Me"
"90","CA"
"91","Ca"
"92","IA"
"93","Me"
"94","TX"
"95","TX"
"96","Co"
"97","UK"
"98","IA"
"99","Zo"
"100","Zo"
"101","UK"
"102","FL"
"103","FL"
"104","Co"
"105","IN"
"106","IN"
"107","TX"
"108","TX"
"109","Se"
"110","43"
"111","CA"
"112",NA
"113","KS"
"114","Me"
"115","GA"
"116","PA"
"117","NY"
"118","NY"
"119","NY"
"120","NY"
"121","IL"
"122","Zo"
"123","Zo"
"124","OR"
"125",NA
"126","42"
"127","42"
"128","42"
"129",NA
"130","42"
"131","42"
"132","42"
"133","42"
"134","CA"
"135",NA
"136",NA
"137","FL"
"138","FL"
"139","97"
"140","IL"
"141","MD"
"142","MD"
"143","MD"
"144","NC"
"145","UK"
"146","UK"
"147","He"
"148","VA"
"149","WA"
"150","CT"
"151","OH"
"152","OH"
"153","MN"
"154","NY"
"155","MA"
"156","KS"
"157",NA
"158","St"
"159","CA"
"160","CA"
"161","CA"
"162","CA"
"163","CA"
"164","CA"
"165","CA"
"166","NY"
"167","KS"
"168","UK"
"169","US"
"170","US"
"171","MA"
"172","MA"
"173","NM"
"174","MA"
"175","MA"
"176","MA"
"177","Oa"
"178","No"
